obs_id,train_id,class,class_name,path_to_image
id_000001,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00033509.JPEG
id_000002,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00032959.JPEG
id_000003,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00034417.JPEG
id_000004,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00002138.JPEG
id_000005,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00003351.JPEG
id_000006,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00041925.JPEG
id_000007,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00017472.JPEG
id_000008,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00020951.JPEG
id_000009,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00006909.JPEG
id_000010,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00035482.JPEG
id_000011,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00045880.JPEG
id_000012,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00037629.JPEG
id_000013,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00033364.JPEG
id_000014,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00036282.JPEG
id_000015,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00025591.JPEG
id_000016,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00042707.JPEG
id_000017,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00046178.JPEG
id_000018,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00028158.JPEG
id_000019,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00027918.JPEG
id_000020,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00024405.JPEG
id_000021,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00047705.JPEG
id_000022,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00003682.JPEG
id_000023,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00007471.JPEG
id_000024,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00009206.JPEG
id_000025,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00027385.JPEG
id_000026,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00030740.JPEG
id_000027,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00008651.JPEG
id_000028,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00025442.JPEG
id_000029,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00009593.JPEG
id_000030,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00008334.JPEG
id_000031,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00025761.JPEG
id_000032,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00032800.JPEG
id_000033,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00033682.JPEG
id_000034,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00037834.JPEG
id_000035,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00036187.JPEG
id_000036,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00007186.JPEG
id_000037,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00020502.JPEG
id_000038,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00049106.JPEG
id_000039,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00032455.JPEG
id_000040,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00038569.JPEG
id_000041,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00031486.JPEG
id_000042,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00046913.JPEG
id_000043,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00011431.JPEG
id_000044,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00002434.JPEG
id_000045,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00034654.JPEG
id_000046,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00011581.JPEG
id_000047,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00013735.JPEG
id_000048,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00013915.JPEG
id_000049,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00031186.JPEG
id_000050,train,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00009279.JPEG
id_000051,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00011691.JPEG
id_000052,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00036755.JPEG
id_000053,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00046295.JPEG
id_000054,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00009705.JPEG
id_000055,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00035751.JPEG
id_000056,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00045110.JPEG
id_000057,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00039477.JPEG
id_000058,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00030728.JPEG
id_000059,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00042487.JPEG
id_000060,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00024246.JPEG
id_000061,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00002508.JPEG
id_000062,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00028310.JPEG
id_000063,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00001492.JPEG
id_000064,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00046232.JPEG
id_000065,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00034001.JPEG
id_000066,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00015155.JPEG
id_000067,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00005554.JPEG
id_000068,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00046252.JPEG
id_000069,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00042347.JPEG
id_000070,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00009396.JPEG
id_000071,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00031035.JPEG
id_000072,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00011983.JPEG
id_000073,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00048853.JPEG
id_000074,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00042207.JPEG
id_000075,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00003587.JPEG
id_000076,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00031897.JPEG
id_000077,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00017247.JPEG
id_000078,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00014280.JPEG
id_000079,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00023044.JPEG
id_000080,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00004745.JPEG
id_000081,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00027182.JPEG
id_000082,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00047189.JPEG
id_000083,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00016582.JPEG
id_000084,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00034220.JPEG
id_000085,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00012504.JPEG
id_000086,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00035266.JPEG
id_000087,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00043909.JPEG
id_000088,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00000537.JPEG
id_000089,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00026397.JPEG
id_000090,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00007460.JPEG
id_000091,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00048335.JPEG
id_000092,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00031964.JPEG
id_000093,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00012925.JPEG
id_000094,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00008599.JPEG
id_000095,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00015654.JPEG
id_000096,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00018516.JPEG
id_000097,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00024327.JPEG
id_000098,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00015499.JPEG
id_000099,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00040833.JPEG
id_000100,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00043278.JPEG
id_000101,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00009345.JPEG
id_000102,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00041706.JPEG
id_000103,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00007400.JPEG
id_000104,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00042350.JPEG
id_000105,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00001144.JPEG
id_000106,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00010460.JPEG
id_000107,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00010336.JPEG
id_000108,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00037383.JPEG
id_000109,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00012634.JPEG
id_000110,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00037592.JPEG
id_000111,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00031954.JPEG
id_000112,valid,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00034078.JPEG
id_000113,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00036229.JPEG
id_000114,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00015694.JPEG
id_000115,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00006726.JPEG
id_000116,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00007226.JPEG
id_000117,train,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00026865.JPEG
id_000118,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00042982.JPEG
id_000119,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00017370.JPEG
id_000120,valid,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00043988.JPEG
id_000121,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00030938.JPEG
id_000122,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00040694.JPEG
id_000123,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00002990.JPEG
id_000124,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00020674.JPEG
id_000125,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00030583.JPEG
id_000126,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00035419.JPEG
id_000127,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00040546.JPEG
id_000128,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00028196.JPEG
id_000129,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00036092.JPEG
id_000130,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00022754.JPEG
id_000131,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00009037.JPEG
id_000132,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00034563.JPEG
id_000133,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00017463.JPEG
id_000134,valid,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00038137.JPEG
id_000135,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00037555.JPEG
id_000136,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00017407.JPEG
id_000137,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00003759.JPEG
id_000138,valid,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00040140.JPEG
id_000139,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00007616.JPEG
id_000140,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00023107.JPEG
id_000141,valid,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00046669.JPEG
id_000142,train,4,French_horn,../notes/image_data/imagenette-320//French_horn/ILSVRC2012_val_00013113.JPEG
id_000143,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00023215.JPEG
id_000144,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00044793.JPEG
id_000145,valid,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00007519.JPEG
id_000146,train,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00018317.JPEG
id_000147,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00011951.JPEG
id_000148,valid,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00013827.JPEG
id_000149,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00024340.JPEG
id_000150,valid,6,gas_pump,../notes/image_data/imagenette-320//gas_pump/ILSVRC2012_val_00002498.JPEG
id_000151,valid,9,tench,../notes/image_data/imagenette-320//tench/ILSVRC2012_val_00009346.JPEG
id_000152,valid,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00043994.JPEG
id_000153,train,2,church,../notes/image_data/imagenette-320//church/ILSVRC2012_val_00016832.JPEG
id_000154,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00007032.JPEG
id_000155,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00019414.JPEG
id_000156,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00017719.JPEG
id_000157,train,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00015787.JPEG
id_000158,train,0,cassette_player,../notes/image_data/imagenette-320//cassette_player/ILSVRC2012_val_00033397.JPEG
id_000159,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00045940.JPEG
id_000160,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00026061.JPEG
id_000161,train,1,chain_saw,../notes/image_data/imagenette-320//chain_saw/ILSVRC2012_val_00046764.JPEG
id_000162,valid,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00002314.JPEG
id_000163,train,3,English_springer,../notes/image_data/imagenette-320//English_springer/ILSVRC2012_val_00000665.JPEG
id_000164,valid,8,parachute,../notes/image_data/imagenette-320//parachute/ILSVRC2012_val_00009269.JPEG
id_000165,valid,5,garbage_truck,../notes/image_data/imagenette-320//garbage_truck/ILSVRC2012_val_00044888.JPEG
id_000166,train,7,golf_ball,../notes/image_data/imagenette-320//golf_ball/ILSVRC2012_val_00037369.JPEG
